type,year,Constant_All,Constant_4-Year,Constant_2-Year,Contemporary_All,Contemporary_4-Year,Contemporary_2-Year
All Institutions,1985–862,11369,12811,7836,4885,5504,3367
All Institutions,1995–96,14426,16934,7745,8800,10330,4725
All Institutions,2000–01,15651,18692,7907,10820,12922,5466
All Institutions,2001–02,16175,19386,8127,11380,13639,5718
All Institutions,2002–03,16708,20081,8695,12014,14439,6252
All Institutions,2003–04,17629,21103,9125,12953,15505,6705
All Institutions,2004–05,18224,21813,9374,13793,16510,7095
All Institutions,2005–06,18625,22211,9209,14634,17451,7236
All Institutions,2006–07,19212,22918,9264,15486,18473,7467
All Institutions,2007–08,19413,23166,9137,16227,19364,7637
All Institutions,2008–09,20111,24024,9697,17045,20361,8219
All Institutions,2009–10,20625,24687,9981,17650,21126,8541
All Institutions,2010–11,21165,25287,10159,18475,22074,8868
All Institutions,2011–12,21593,25610,10402,19401,23011,9347
All Institutions,2012–13,22150,26132,10480,20233,23871,9573
All Institutions,2013–14,22630,26625,10662,20995,24701,9891
All Institutions,2014–15,23252,27190,10864,21729,25409,10153
All Institutions,2015–16,23851,27777,11062,22439,26132,10407
All Institutions,2016–17,24101,27755,11061,23091,26592,10597
All Institutions,2017–18,24327,27923,10925,23833,27357,10704
All Institutions,2018–19,24623,28123,11389,24623,28123,11389
Public,1985–862,8312,8981,6938,3571,3859,2981
Public,1995–96,10255,11498,6912,6256,7014,4217
Public,2000–01,10973,12517,7000,7586,8653,4839
Public,2001–02,11401,13071,7302,8022,9196,5137
Public,2002–03,11824,13612,7790,8502,9787,5601
Public,2003–04,12585,14527,8182,9247,10674,6012
Public,2004–05,13033,15096,8423,9864,11426,6375
Public,2005–06,13306,15411,8262,10454,12108,6492
Public,2007–08,13842,16066,8347,11570,13429,6977
Public,2008–09,14405,16768,8906,12209,14212,7549
Public,2009–10,14980,17570,9007,12819,15036,7708
Public,2010–11,15540,18237,9255,13566,15919,8079
Public,2011–12,15980,18683,9590,14359,16787,8617
Public,2012–13,16444,19130,9773,15021,17475,8927
Public,2013–14,16846,19509,10006,15628,18100,9283
Public,2014–15,17323,19938,10257,16188,18632,9585
Public,2015–16,17821,20413,10538,16766,19204,9914
Public,2016–17,17992,20341,10531,17238,19488,10090
Public,2017–18,18163,20464,10493,17794,20049,10280
Public,2018–19,18383,20598,10950,18383,20598,10950
Private,1985–862,20678,21478,15156,8885,9228,6512
Private,1995–96,28209,28870,18956,17208,17612,11563
Private,2000–01,30916,31614,21563,21373,21856,14907
Private,2001–02,31857,32542,22493,22413,22896,15825
Private,2002–03,32461,33082,24690,23340,23787,17753
Private,2003–04,33513,34120,26619,24624,25070,19558
Private,2004–05,34110,34695,26817,25817,26260,20297
Private,2005–06,34247,34788,27242,26908,27333,21404
Private,2006–07,35285,35879,25166,28440,28919,20284
Private,2007–08,35613,36160,25944,29768,30226,21686
Private,2008–09,36298,36850,26810,30764,31232,22723
Private,2009–10,36624,37215,28587,31341,31847,24463
Private,2010–11,36515,37250,26464,31875,32517,23101
Private,2011–12,36792,37481,26271,33058,33677,23605
Private,2012–13,37750,38394,25567,34483,35071,23355
Private,2013–14,38799,39450,25730,35995,36599,23870
Private,2014–15,40045,40651,26032,37422,37988,24327
Private,2015–16,41472,42021,25909,39016,39534,24375
Private,2016–17,42712,43279,25976,40922,41465,24888
Private,2017–18,43557,44025,26126,42673,43131,25596
Private,2018–19,44306,44662,28627,44306,44662,28627
