,type,year,tuition_type,tuition_cost,tuition_2,avg_tuition,1_year_change_tuition,total_change_tuition,cpi,1_year_change_cpi,total_change_cpi
0,All Institutions,1985-86,All Constant,10893,11369,11131,,,107.6,3.649635036496357,5.576208178438662
1,All Institutions,1985-86,4 Year Constant,12274,12811,12542,,,107.6,3.649635036496357,5.576208178438662
2,All Institutions,1985-86,2 Year Constant,7508,7836,7672,,,107.6,3.649635036496357,5.576208178438662
3,All Institutions,1985-86,All Current,4885,4885,4885,,,107.6,3.649635036496357,5.576208178438662
4,All Institutions,1985-86,4 Year Current,5504,5504,5504,,,107.6,3.649635036496357,5.576208178438662
5,All Institutions,1985-86,2 Year Current,3367,3367,3367,,,107.6,3.649635036496357,5.576208178438662
6,Public,1985-86,All Constant,7964,8312,8138,,,107.6,3.649635036496357,5.576208178438662
7,Public,1985-86,4 Year Constant,8604,8981,8792,,,107.6,3.649635036496357,5.576208178438662
8,Public,1985-86,2 Year Constant,6647,6938,6792,,,107.6,3.649635036496357,5.576208178438662
9,Public,1985-86,All Current,3571,3571,3571,,,107.6,3.649635036496357,5.576208178438662
10,Public,1985-86,4 Year Current,3859,3859,3859,,,107.6,3.649635036496357,5.576208178438662
11,Public,1985-86,2 Year Current,2981,2981,2981,,,107.6,3.649635036496357,5.576208178438662
12,Private,1985-86,All Constant,19812,20678,20245,,,107.6,3.649635036496357,5.576208178438662
13,Private,1985-86,4 Year Constant,20578,21478,21028,,,107.6,3.649635036496357,5.576208178438662
14,Private,1985-86,2 Year Constant,14521,15156,14838,,,107.6,3.649635036496357,5.576208178438662
15,Private,1985-86,All Current,8885,8885,8885,,,107.6,3.649635036496357,5.576208178438662
16,Private,1985-86,4 Year Current,9228,9228,9228,,,107.6,3.649635036496357,5.576208178438662
17,Private,1985-86,2 Year Current,6512,6512,6512,,,107.6,3.649635036496357,5.576208178438662
18,All Institutions,1995-96,All Constant,13822,14426,14124,26.88886892462492,2993.0,152.4,2.8340080971660075,41.63568773234202
19,All Institutions,1995-96,4 Year Constant,16224,16934,16579,32.187848827938126,4037.0,152.4,2.8340080971660075,41.63568773234202
20,All Institutions,1995-96,2 Year Constant,7421,7745,7583,-1.1600625651720597,-89.0,152.4,2.8340080971660075,41.63568773234202
21,All Institutions,1995-96,All Current,8800,8800,8800,80.14329580348003,3915.0,152.4,2.8340080971660075,41.63568773234202
22,All Institutions,1995-96,4 Year Current,10330,10330,10330,87.68168604651163,4826.0,152.4,2.8340080971660075,41.63568773234202
23,All Institutions,1995-96,2 Year Current,4725,4725,4725,40.332640332640324,1358.0,152.4,2.8340080971660075,41.63568773234202
24,Public,1995-96,All Constant,9825,10255,10040,23.371835831899723,1902.0,152.4,2.8340080971660075,41.63568773234202
25,Public,1995-96,4 Year Constant,11016,11498,11257,28.03685168334851,2465.0,152.4,2.8340080971660075,41.63568773234202
26,Public,1995-96,2 Year Constant,6623,6912,6767,-0.36808009422850674,-25.0,152.4,2.8340080971660075,41.63568773234202
27,Public,1995-96,All Current,6256,6256,6256,75.18902268272191,2685.0,152.4,2.8340080971660075,41.63568773234202
28,Public,1995-96,4 Year Current,7014,7014,7014,81.7569318476289,3155.0,152.4,2.8340080971660075,41.63568773234202
29,Public,1995-96,2 Year Current,4217,4217,4217,41.46259644414625,1236.0,152.4,2.8340080971660075,41.63568773234202
30,Private,1995-96,All Constant,27027,28209,27618,36.41886885650778,7373.0,152.4,2.8340080971660075,41.63568773234202
31,Private,1995-96,4 Year Constant,27661,28870,28265,34.41601673958532,7237.0,152.4,2.8340080971660075,41.63568773234202
32,Private,1995-96,2 Year Constant,18161,18956,18558,25.070764253942592,3720.0,152.4,2.8340080971660075,41.63568773234202
33,Private,1995-96,All Current,17208,17208,17208,93.67473269555431,8323.0,152.4,2.8340080971660075,41.63568773234202
34,Private,1995-96,4 Year Current,17612,17612,17612,90.85392284351971,7684.0,152.4,2.8340080971660075,41.63568773234202
35,Private,1995-96,2 Year Current,11563,11563,11563,77.56449631449631,5051.0,152.4,2.8340080971660075,41.63568773234202
36,All Institutions,2000-01,All Constant,14995,15651,15323,8.489096573208732,4192.0,172.2,3.361344537815114,60.03717472118959
37,All Institutions,2000-01,4 Year Constant,17909,18692,18300,10.380601966342962,5758.0,172.2,3.361344537815114,60.03717472118959
38,All Institutions,2000-01,2 Year Constant,7576,7907,7741,2.0836080706844173,69.0,172.2,3.361344537815114,60.03717472118959
39,All Institutions,2000-01,All Current,10820,10820,10820,22.95454545454545,5935.0,172.2,3.361344537815114,60.03717472118959
40,All Institutions,2000-01,4 Year Current,12922,12922,12922,25.091965150048413,7418.0,172.2,3.361344537815114,60.03717472118959
41,All Institutions,2000-01,2 Year Current,5466,5466,5466,15.682539682539677,2099.0,172.2,3.361344537815114,60.03717472118959
42,Public,2000-01,All Constant,10514,10973,10743,7.001992031872506,2605.0,172.2,3.361344537815114,60.03717472118959
43,Public,2000-01,4 Year Constant,11993,12517,12255,8.865594741050021,3463.0,172.2,3.361344537815114,60.03717472118959
44,Public,2000-01,2 Year Constant,6706,7000,6853,1.270873355992319,61.0,172.2,3.361344537815114,60.03717472118959
45,Public,2000-01,All Current,7586,7586,7586,21.25959079283888,4015.0,172.2,3.361344537815114,60.03717472118959
